,Название,Разрешение,класс;
0,Требуется доступ к Ethernet ,пожалуйста, подключите кабель локальной сети к красному порту на вашей рабочей станции. Пожалуйста,напишите ЕМУ, если вы не можете получить IP-адреса, 41;
"1,Создайте новую учетную запись и поделитесь именем пользователя и паролем"", Перейдите по адресу : accountsetup.com, Введите личные данные вместе с идентификатором пользователя, введите полученный OTP, нажмите кнопку Готово. Проверьте электронную почту для получения подробной информации"", 35";
"2,FW: Проблема входа в Myspace -- Ania,""Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
"3,Учетные данные для входа не работают.""Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
"4,Для нового участника требуется новая учетная запись.""Перейдите по адресу : accountsetup.com, Введите личные данные вместе с идентификатором пользователя, введите полученный ответ, нажмите кнопку Готово. Проверьте электронную почту для получения подробной информации"", 35";
5,Запрос на настройку системы для обмена ею между пользователями,они не смогут получить доступ к другим профилям, если войдут в систему со своей учетной записью. Пожалуйста,попросите пользователей обратиться к НЕМУ, если у них возникнут какие-либо проблемы., 46;
"6,Требуется разрешение доступа Wi-Fi к ноутбуку:""Сначала подключите сетевой кабель к ноутбуку к красному порту на вашей рабочей станции. Запустите ipconfig /all в командной строке. Поделитесь Mac-адресом Wi-Fi или аппаратным адресом с ИТ-командой. Затем ИТ-команда добавляет ваш MAC-идентификатор для включения доступа к Wi-Fi"",34";
7,Локальная сеть не работает в виртуальной машине,изменил настройки сети на подключенную и настроенную сеть в виртуальной машине.,49;
"8,Необходим доступ к Wi-Fi.,""Во-первых, подключите сетевой кабель к ноутбуку к красному порту на рабочей станции. Запустите ipconfig /all в командной строке. Поделитесь Mac-адресом Wi-Fi или аппаратным адресом с ИТ-командой. Затем ИТ-команда добавляет ваш MAC-идентификатор для включения доступа к Wi-Fi"",34";
9,Мое приложение для контроля качества пространства не работает,мы сожалеем о вызванном несоответствии. Проблема связана с хост-сервером,который был перезагружен из-за сбоя питания., 48;
